timestamp,open,high,low,close,volume,year,month,day
2024-07-21 14:30:00+00:00,67108.01,67110.01,67033.25,67086.01,53.47065,2024,7,21
2024-07-21 14:35:00+00:00,67086.01,67344.17,67086.0,67266.0,172.98167,2024,7,21
2024-07-21 14:40:00+00:00,67266.01,67379.91,67264.0,67375.93,105.90783,2024,7,21
2024-07-21 14:45:00+00:00,67375.92,67392.68,67239.99,67350.0,103.6227,2024,7,21
2024-07-21 14:50:00+00:00,67349.99,67388.0,67280.0,67327.99,97.72272,2024,7,21
2024-07-21 14:55:00+00:00,67328.0,67350.0,67280.0,67290.76,66.81736,2024,7,21
2024-07-21 15:00:00+00:00,67290.75,67392.0,67290.75,67333.92,67.58769,2024,7,21
2024-07-21 15:05:00+00:00,67333.93,67370.0,67116.0,67150.01,106.35394,2024,7,21
2024-07-21 15:10:00+00:00,67150.01,67225.56,67119.04,67138.01,50.10391,2024,7,21
2024-07-21 15:15:00+00:00,67138.01,67171.55,67056.0,67096.0,46.77728,2024,7,21
2024-07-21 15:20:00+00:00,67096.0,67212.01,67068.0,67170.68,77.17716,2024,7,21
2024-07-21 15:25:00+00:00,67170.68,67220.01,67170.68,67220.0,39.93476,2024,7,21
2024-07-21 15:30:00+00:00,67220.01,67499.99,67220.0,67416.0,214.75716,2024,7,21
2024-07-21 15:35:00+00:00,67416.0,67433.84,67334.0,67346.0,63.95265,2024,7,21
2024-07-21 15:40:00+00:00,67345.99,67366.01,67210.0,67212.0,54.45168,2024,7,21
2024-07-21 15:45:00+00:00,67212.0,67222.0,66971.48,67072.78,97.60896,2024,7,21
2024-07-21 15:50:00+00:00,67072.78,67136.01,67072.78,67118.0,28.42886,2024,7,21
2024-07-21 15:55:00+00:00,67118.0,67174.0,67066.0,67164.0,52.99535,2024,7,21
2024-07-21 16:00:00+00:00,67164.0,67183.99,67134.0,67172.01,42.68662,2024,7,21
2024-07-21 16:05:00+00:00,67172.01,67216.01,67098.0,67112.01,41.84644,2024,7,21
2024-07-21 16:10:00+00:00,67112.01,67244.01,67112.01,67204.01,51.55898,2024,7,21
2024-07-21 16:15:00+00:00,67204.01,67212.01,67018.18,67029.99,53.51993,2024,7,21
2024-07-21 16:20:00+00:00,67029.99,67048.0,66952.21,67047.99,106.1158,2024,7,21
2024-07-21 16:25:00+00:00,67047.99,67072.0,66998.0,67064.0,64.68029,2024,7,21
2024-07-21 16:30:00+00:00,67063.99,67066.01,66973.01,66973.02,47.78998,2024,7,21
2024-07-21 16:35:00+00:00,66973.02,67059.19,66973.01,67046.01,34.26254,2024,7,21
2024-07-21 16:40:00+00:00,67046.0,67082.0,67034.0,67054.0,28.27923,2024,7,21
2024-07-21 16:45:00+00:00,67054.01,67466.67,67031.0,67388.0,285.12824,2024,7,21
2024-07-21 16:50:00+00:00,67388.0,67588.0,67366.0,67574.01,262.31455,2024,7,21
2024-07-21 16:55:00+00:00,67574.01,67590.0,67462.0,67554.0,192.28785,2024,7,21
2024-07-21 17:00:00+00:00,67553.99,67713.0,67411.76,67413.99,394.25339,2024,7,21
2024-07-21 17:05:00+00:00,67414.0,67521.21,67344.57,67515.18,119.61355,2024,7,21
2024-07-21 17:10:00+00:00,67515.18,67515.18,67450.49,67497.66,51.97094,2024,7,21
2024-07-21 17:15:00+00:00,67497.67,67500.0,67294.0,67342.0,68.18942,2024,7,21
2024-07-21 17:20:00+00:00,67342.0,67406.5,67338.0,67388.01,47.63518,2024,7,21
2024-07-21 17:25:00+00:00,67388.01,67388.01,67300.0,67344.01,46.44609,2024,7,21
2024-07-21 17:30:00+00:00,67344.01,67380.0,67300.0,67354.0,56.67884,2024,7,21
2024-07-21 17:35:00+00:00,67354.0,67394.01,67326.0,67394.0,92.22265,2024,7,21
2024-07-21 17:40:00+00:00,67394.0,67438.0,67378.0,67378.01,32.71045,2024,7,21
2024-07-21 17:45:00+00:00,67378.01,67378.01,67145.0,67160.0,119.94785,2024,7,21
2024-07-21 17:50:00+00:00,67160.0,67164.01,66484.55,66679.0,729.91424,2024,7,21
2024-07-21 17:55:00+00:00,66679.01,66798.01,66591.99,66648.01,230.94395,2024,7,21
2024-07-21 18:00:00+00:00,66648.01,66757.0,66408.38,66442.0,540.0166,2024,7,21
2024-07-21 18:05:00+00:00,66442.0,66532.62,66033.0,66044.0,676.75283,2024,7,21
2024-07-21 18:10:00+00:00,66044.0,66304.0,65777.0,66276.01,947.2359,2024,7,21
2024-07-21 18:15:00+00:00,66276.0,66511.3,66250.0,66483.65,629.62621,2024,7,21
2024-07-21 18:20:00+00:00,66483.66,66772.01,66389.08,66768.94,407.54613,2024,7,21
2024-07-21 18:25:00+00:00,66768.94,67084.89,66687.99,66970.01,279.91191,2024,7,21
2024-07-21 18:30:00+00:00,66970.0,67336.01,66900.0,67196.01,387.72142,2024,7,21
2024-07-21 18:35:00+00:00,67196.02,67196.02,66900.0,66986.61,266.9745,2024,7,21
2024-07-21 18:40:00+00:00,66986.6,67113.66,66900.0,66931.29,243.62042,2024,7,21
2024-07-21 18:45:00+00:00,66931.29,67026.01,66790.9,66829.01,206.78256,2024,7,21
2024-07-21 18:50:00+00:00,66829.0,66986.01,66812.42,66942.01,141.11713,2024,7,21
2024-07-21 18:55:00+00:00,66942.01,66942.01,66862.0,66864.42,30.71658,2024,7,21
2024-07-21 19:00:00+00:00,66864.43,66869.7,66782.6,66839.93,60.03952,2024,7,21
2024-07-21 19:05:00+00:00,66839.93,67046.02,66839.93,67012.95,81.99258,2024,7,21
2024-07-21 19:10:00+00:00,67012.95,67040.0,66878.0,66964.0,56.00861,2024,7,21
2024-07-21 19:15:00+00:00,66964.01,66982.01,66912.0,66982.01,30.3179,2024,7,21
2024-07-21 19:20:00+00:00,66982.01,67157.07,66955.86,67146.0,61.45339,2024,7,21
2024-07-21 19:25:00+00:00,67146.0,67405.18,67060.0,67317.81,180.20249,2024,7,21
2024-07-21 19:30:00+00:00,67317.8,67712.99,67308.91,67456.01,532.89928,2024,7,21
2024-07-21 19:35:00+00:00,67456.0,67532.01,67275.0,67288.0,130.80881,2024,7,21
2024-07-21 19:40:00+00:00,67288.0,67322.01,67212.0,67309.99,55.03277,2024,7,21
2024-07-21 19:45:00+00:00,67309.98,67413.28,67244.0,67379.99,69.70379,2024,7,21
2024-07-21 19:50:00+00:00,67379.99,67424.01,67254.0,67340.01,55.87587,2024,7,21
2024-07-21 19:55:00+00:00,67340.01,67426.01,67314.85,67422.02,38.19487,2024,7,21
2024-07-21 20:00:00+00:00,67422.03,67464.01,67274.69,67298.01,69.51628,2024,7,21
2024-07-21 20:05:00+00:00,67298.0,67402.01,67275.81,67382.0,32.20816,2024,7,21
2024-07-21 20:10:00+00:00,67382.01,67562.0,67368.0,67450.37,64.82193,2024,7,21
2024-07-21 20:15:00+00:00,67450.38,67809.33,67450.38,67728.0,228.0707,2024,7,21
2024-07-21 20:20:00+00:00,67728.0,68000.0,67657.15,67967.49,447.78273,2024,7,21
2024-07-21 20:25:00+00:00,67967.5,68186.0,67912.0,68124.5,535.40608,2024,7,21
2024-07-21 20:30:00+00:00,68124.5,68209.16,67969.01,68002.0,199.39181,2024,7,21
2024-07-21 20:35:00+00:00,68002.0,68110.01,67941.99,68110.0,137.3849,2024,7,21
2024-07-21 20:40:00+00:00,68110.01,68159.35,67942.56,68014.07,128.41281,2024,7,21
2024-07-21 20:45:00+00:00,68014.06,68026.01,67832.0,67864.66,133.05057,2024,7,21
2024-07-21 20:50:00+00:00,67864.65,67978.01,67785.48,67928.82,122.88153,2024,7,21
2024-07-21 20:55:00+00:00,67928.81,67928.82,67692.82,67723.91,136.14789,2024,7,21
2024-07-21 21:00:00+00:00,67723.91,67828.0,67702.0,67766.01,105.75476,2024,7,21
2024-07-21 21:05:00+00:00,67766.0,67792.01,67694.0,67702.0,62.61478,2024,7,21
2024-07-21 21:10:00+00:00,67702.01,67702.01,67564.2,67632.01,116.45993,2024,7,21
2024-07-21 21:15:00+00:00,67632.01,67834.81,67606.0,67787.26,192.32346,2024,7,21
2024-07-21 21:20:00+00:00,67787.26,67852.01,67720.51,67758.01,70.99822,2024,7,21
2024-07-21 21:25:00+00:00,67758.0,67875.0,67758.0,67812.93,70.7891,2024,7,21
2024-07-21 21:30:00+00:00,67812.94,67854.01,67812.94,67854.01,21.35291,2024,7,21
2024-07-21 21:35:00+00:00,67854.01,68298.02,67854.0,68162.01,292.57375,2024,7,21
2024-07-21 21:40:00+00:00,68162.01,68204.01,68002.52,68086.44,97.28696,2024,7,21
2024-07-21 21:45:00+00:00,68086.43,68088.01,67974.66,68078.01,50.49198,2024,7,21
2024-07-21 21:50:00+00:00,68078.01,68280.27,68078.0,68100.6,133.92597,2024,7,21
2024-07-21 21:55:00+00:00,68100.6,68220.01,68100.6,68193.99,42.49733,2024,7,21
2024-07-21 22:00:00+00:00,68194.0,68366.66,68176.0,68264.01,211.3624,2024,7,21
2024-07-21 22:05:00+00:00,68264.01,68302.01,68070.0,68186.01,125.8046,2024,7,21
2024-07-21 22:10:00+00:00,68186.0,68192.01,68068.0,68078.0,59.21534,2024,7,21
2024-07-21 22:15:00+00:00,68078.0,68144.01,68038.0,68046.0,37.72877,2024,7,21
2024-07-21 22:20:00+00:00,68046.01,68126.2,68040.0,68050.01,32.84845,2024,7,21
2024-07-21 22:25:00+00:00,68050.0,68094.01,68016.0,68042.01,38.1227,2024,7,21
2024-07-21 22:30:00+00:00,68042.01,68131.9,68026.0,68070.01,44.41606,2024,7,21
2024-07-21 22:35:00+00:00,68070.01,68070.01,67934.0,67980.01,82.84839,2024,7,21
2024-07-21 22:40:00+00:00,67980.0,68030.01,67980.0,67984.01,44.64106,2024,7,21
2024-07-21 22:45:00+00:00,67984.01,68079.74,67984.0,67990.01,36.16098,2024,7,21
2024-07-21 22:50:00+00:00,67990.0,68016.0,67968.92,67998.49,33.06393,2024,7,21
2024-07-21 22:55:00+00:00,67998.49,68040.01,67996.0,68012.0,36.55004,2024,7,21
2024-07-21 23:00:00+00:00,68012.01,68156.01,68012.0,68126.01,43.55041,2024,7,21
2024-07-21 23:05:00+00:00,68126.01,68200.0,68086.12,68093.36,50.35325,2024,7,21
2024-07-21 23:10:00+00:00,68093.35,68148.01,68050.16,68118.0,71.80504,2024,7,21
2024-07-21 23:15:00+00:00,68118.0,68150.0,68020.0,68116.0,67.12654,2024,7,21
2024-07-21 23:20:00+00:00,68115.99,68122.98,68062.0,68078.01,32.01608,2024,7,21
2024-07-21 23:25:00+00:00,68078.01,68092.01,68052.0,68052.0,18.474,2024,7,21
2024-07-21 23:30:00+00:00,68052.0,68074.01,68000.0,68000.0,38.83674,2024,7,21
2024-07-21 23:35:00+00:00,68000.0,68032.01,67963.45,67964.01,35.61655,2024,7,21
